Decade,Animals,Architecture,Botanical study,Cityscapes,Clothing and dress,Domestic,Dress accessories,Figure female,Figure group,Figure male,Horses,Landscapes,Men,Mountains,Nudity,Occupations,Portraits,Religion,Trees,Women
1920,221,308,269,135,68,82,59,100,200,68,74,305,157,55,80,138,169,76,65,66
1930,67,156,152,52,33,42,32,73,108,39,18,200,62,26,43,69,88,40,34,47
1940,46,85,17,29,28,42,14,28,72,82,13,93,29,13,7,82,23,14,9,16
1950,1,8,0,0,1,5,0,0,4,1,0,5,2,1,0,2,4,3,1,2
1960,1,1,0,0,1,1,2,0,4,2,0,3,4,0,0,2,4,0,0,0
1970,0,4,0,2,0,0,1,0,2,0,0,2,0,0,0,1,1,0,0,2
1980,1,0,0,0,5,0,5,0,0,1,0,0,20,0,0,1,31,0,0,14
1990,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2000,0,2,0,0,1,0,1,0,2,1,0,1,3,1,0,0,3,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
